"table_schema","table_name","column_name","data_type","is_nullable"
"public","ClassLinkOrgsMapping","CLOrgMapId","integer","NO"
"public","ClassLinkOrgsMapping","SourcedId","character varying","NO"
"public","ClassLinkOrgsMapping","ParentSourcedId","character varying","YES"
"public","ClassLinkOrgsMapping","Name","character varying","NO"
"public","ClassLinkOrgsMapping","Type","character varying","NO"
"public","ClassLinkOrgsMapping","Status","character varying","NO"
"public","ClassLinkOrgsMapping","DistrictId","integer","YES"
"public","ClassLinkOrgsMapping","SchoolId","integer","YES"
"public","ClassLinkOrgsMapping","LastSyncDate","timestamp with time zone","NO"
"public","ClassLinkOrgsMapping","IsDeleted","boolean","NO"
"public","ClassLinkOrgsMapping","SyncStatus","integer","NO"
"public","ClassLinkOrgsMapping","TenantId","bigint","YES"
"public","ClassLinkSyncLogs","CLSynLogId","integer","NO"
"public","ClassLinkSyncLogs","SyncStartTime","timestamp with time zone","NO"
"public","ClassLinkSyncLogs","SyncEndTime","timestamp with time zone","YES"
"public","ClassLinkSyncLogs","Status","character varying","YES"
"public","ClassLinkSyncLogs","OrgsSynced","integer","YES"
"public","ClassLinkSyncLogs","UsersSynced","integer","YES"
"public","ClassLinkSyncLogs","ErrorMessage","character varying","YES"
"public","ClassLinkSyncLogs","SyncType","character varying","YES"
"public","ClassLinkUserMapping","CLUserMappingId","bigint","NO"
"public","ClassLinkUserMapping","ClassLinkUserId","bigint","YES"
"public","ClassLinkUserMapping","SourcedId","character varying","YES"
"public","ClassLinkUserMapping","TenantId","bigint","YES"
"public","ClassLinkUserMapping","BuildingId","bigint","YES"
"public","ClassLinkUserMapping","StudentId","integer","YES"
"public","ClassLinkUserMapping","LoginId","integer","YES"
"public","ClassLinkUserMapping","LastSyncDate","timestamp with time zone","YES"
"public","Client","ClientId","smallint","NO"
"public","Client","ClientName","character varying","NO"
"public","Client","BaseSiteUrl","character varying","YES"
"public","Client","StudentFeedbackUrl","character varying","YES"
"public","Client","Status","boolean","NO"
"public","Client","CreatedDate","timestamp with time zone","YES"
"public","Client","ClassLinkTenantId","bigint","YES"
"public","Client","ClassLinkTenantName","character varying","YES"
"public","Client","LastSyncDate","timestamp with time zone","YES"
"public","Country","CountryId","smallint","NO"
"public","Country","CountryName","character varying","NO"
"public","Country","Status","boolean","NO"
"public","District","DistrictId","integer","NO"
"public","District","CountryId","smallint","NO"
"public","District","StateId","smallint","NO"
"public","District","TimezoneId","smallint","YES"
"public","District","DistrictName","character varying","NO"
"public","District","Status","boolean","NO"
"public","District","CreatedDate","timestamp with time zone","NO"
"public","District","ClientId","smallint","NO"
"public","District","ClassLinkBuilding","character varying","YES"
"public","District","ClassLinkBuildingId","bigint","YES"
"public","District","LastSyncDate","timestamp with time zone","YES"
"public","District","ClassLinkParentSourcedId","text","YES"
"public","District","ClassLinkSourcedId","text","YES"
"public","FeedbackOption","OptionId","integer","NO"
"public","FeedbackOption","GradeCategory","character varying","NO"
"public","FeedbackOption","RatingValue","smallint","NO"
"public","FeedbackOption","OptionText","character varying","NO"
"public","FeedbackOption","DisplayOrder","smallint","NO"
"public","FeedbackOption","IsActive","boolean","NO"
"public","FeedbackOption","CreatedOn","timestamp with time zone","YES"
"public","Grade","GradeId","smallint","NO"
"public","Grade","GradeName","character varying","NO"
"public","Grade","Status","boolean","NO"
"public","ILPMaster","ILPId","integer","NO"
"public","ILPMaster","ILPName","character varying","NO"
"public","ILPMaster","Status","boolean","NO"
"public","ILPMaster","LessonIds","character varying","YES"
"public","ILPMaster","ILPStartDate","timestamp with time zone","YES"
"public","ILPMaster","ILPEndDate","timestamp with time zone","YES"
"public","ILPMaster","CreatedBy","integer","YES"
"public","ILPMaster","CreatedDate","timestamp with time zone","NO"
"public","Invoice","InvoiceId","integer","NO"
"public","Invoice","StripePaymentTransactionId","integer","NO"
"public","Invoice","SchoolSubscriptionPlanId","integer","NO"
"public","Invoice","InvoiceNumber","character varying","YES"
"public","Invoice","InvoiceDate","timestamp with time zone","YES"
"public","Invoice","InvoiceDueDate","timestamp with time zone","YES"
"public","Invoice","Currency","character varying","NO"
"public","Invoice","PaymentStatus","character varying","NO"
"public","Invoice","PlanName","character varying","NO"
"public","Invoice","PricingModle","character varying","NO"
"public","Invoice","CostPerSession","numeric","YES"
"public","Invoice","SessionsPerStudent","smallint","YES"
"public","Invoice","NumberOfStudents","integer","YES"
"public","Invoice","TotalSessions","integer","YES"
"public","Invoice","SubTotal","numeric","YES"
"public","Invoice","Discount","numeric","YES"
"public","Invoice","Tax","numeric","YES"
"public","Invoice","TotalAmount","numeric","YES"
"public","Invoice","PdfPath","character varying","YES"
"public","Invoice","CreatedDate","timestamp with time zone","NO"
"public","Invoice","ModifiedDate","timestamp with time zone","YES"
"public","Lesson","LessonId","integer","NO"
"public","Lesson","LessonName","character varying","NO"
"public","Lesson","LessonGuid","uuid","YES"
"public","Lesson","SubjectId","smallint","YES"
"public","Lesson","TopicId","integer","YES"
"public","Lesson","GradeId","smallint","YES"
"public","Lesson","Description","character varying","YES"
"public","Lesson","Status","boolean","NO"
"public","Lesson","CreatedDate","timestamp with time zone","YES"
"public","Lesson","LessonType","character varying","YES"
